run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b1p0_t0_m1p5_s2,1.0,1.0,0,1.5,2,longitudinal,FRAG_KILL,True,FULL,5.3125,0.7708,1.0914,0.1093,11,260.3,False
TAG_f1p0_b1p0_t0_m1p5_s3,1.0,1.0,0,1.5,3,longitudinal,FRAG_KILL,True,FULL,5.1373,0.6806,1.0885,0.0997,9,250.3,False
TAG_f1p0_b1p0_t0_m1p5_s4,1.0,1.0,0,1.5,4,longitudinal,FRAG_KILL,True,FULL,5.0426,0.0763,1.0758,0.0986,10,250.3,False
TAG_f1p0_b1p0_t0_m1p5_s5,1.0,1.0,0,1.5,5,longitudinal,FRAG_KILL,True,FULL,9.3527,10.7945,1.114,0.1296,11,530.6,False
TAG_f1p0_b1p0_t0_m2p0_s1,1.0,1.0,0,2.0,1,longitudinal,FRAG_KILL,True,FULL,5.6913,1.1617,1.079,0.0997,11,520.6,False
TAG_f1p0_b1p0_t0_m2p0_s2,1.0,1.0,0,2.0,2,longitudinal,FRAG_KILL,True,FULL,5.3977,0.7809,1.0755,0.0986,11,280.3,False
TAG_f1p0_b1p0_t0_m2p0_s3,1.0,1.0,0,2.0,3,longitudinal,FRAG_KILL,True,FULL,5.2644,1.2088,1.0863,0.1194,10,330.4,False
TAG_f1p0_b1p0_t0_m2p0_s4,1.0,1.0,0,2.0,4,longitudinal,FRAG_KILL,True,FULL,5.1089,0.1304,1.0555,0.099,10,250.3,False
TAG_f1p0_b1p0_t0_m2p0_s5,1.0,1.0,0,2.0,5,longitudinal,FRAG_KILL,True,FULL,10.204,11.4586,1.0789,0.1095,11,310.3,False
TAG_f1p0_b1p0_t0_m2p5_s1,1.0,1.0,0,2.5,1,longitudinal,FRAG_KILL,True,FULL,5.724,1.15,1.0528,0.0895,11,300.3,False
TAG_f1p0_b1p0_t0_m2p5_s2,1.0,1.0,0,2.5,2,longitudinal,FRAG_KILL,True,FULL,5.3835,0.7909,1.0581,0.0998,11,250.3,False
TAG_f1p0_b1p0_t0_m2p5_s3,1.0,1.0,0,2.5,3,longitudinal,FRAG_KILL,True,FULL,5.0856,0.6375,1.086,0.1297,10,610.7,False
TAG_f1p0_b1p0_t0_m2p5_s4,1.0,1.0,0,2.5,4,longitudinal,FRAG_KILL,True,FULL,5.1442,0.1194,1.0517,0.1185,10,300.3,False
TAG_f1p0_b1p0_t0_m2p5_s5,1.0,1.0,0,2.5,5,longitudinal,FRAG_KILL,True,FULL,8.1771,9.4736,1.101,0.1497,11,1191.4,False
TAG_f1p0_b1p0_t0_m3p0_s1,1.0,1.0,0,3.0,1,longitudinal,FRAG_KILL,True,FULL,5.6913,1.0997,1.0427,0.0986,11,320.4,False
TAG_f1p0_b1p0_t0_m3p0_s2,1.0,1.0,0,3.0,2,longitudinal,FRAG_KILL,True,FULL,5.3689,0.7659,1.0529,0.1091,11,280.3,False
TAG_f1p0_b1p0_t0_m3p0_s3,1.0,1.0,0,3.0,3,longitudinal,FRAG_KILL,True,FULL,5.0868,0.6147,1.0891,0.1395,10,780.9,False
TAG_f1p0_b1p0_t0_m3p0_s4,1.0,1.0,0,3.0,4,longitudinal,FRAG_KILL,True,FULL,5.1603,0.1588,1.0418,0.1187,10,280.3,False
TAG_f1p0_b1p0_t0_m3p0_s5,1.0,1.0,0,3.0,5,longitudinal,FRAG_KILL,True,FULL,8.5897,10.2827,1.0621,0.1196,11,360.4,False
TAG_f1p0_b1p0_t90_m1p0_s1,1.0,1.0,90,1.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5352,,0,360.4,False
TAG_f1p0_b1p0_t90_m1p0_s2,1.0,1.0,90,1.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.515,,0,290.3,False
TAG_f1p0_b1p0_t90_m1p0_s3,1.0,1.0,90,1.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4928,,0,130.1,False
TAG_f1p0_b1p0_t90_m1p0_s4,1.0,1.0,90,1.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4949,,0,150.2,False
TAG_f1p0_b1p0_t90_m1p0_s5,1.0,1.0,90,1.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4951,,0,150.2,False
TAG_f1p0_b1p0_t90_m1p5_s1,1.0,1.0,90,1.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4933,,0,140.2,False
TAG_f1p0_b1p0_t90_m1p5_s2,1.0,1.0,90,1.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5041,,0,290.3,False
TAG_f1p0_b1p0_t90_m1p5_s3,1.0,1.0,90,1.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.505,,0,210.2,False
TAG_f1p0_b1p0_t90_m1p5_s4,1.0,1.0,90,1.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4938,,0,150.2,False
