idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
158,RCE_f1.4_b0.5_m3.0_p0.1_s3,FULL,1.4,0.5,3.0,0.1,3,,1,391,DT_COLLAPSE,0.075,,True,False
159,RCE_f1.4_b0.5_m3.0_p0.3_s2,FULL,1.4,0.5,3.0,0.3,2,,1,361,DT_COLLAPSE,0.075,,True,False
160,RCE_f1.4_b0.5_m3.0_p0.3_s3,FULL,1.4,0.5,3.0,0.3,3,,1,391,DT_COLLAPSE,0.075,,True,False
161,RCE_f1.4_b0.5_m3.0_p0.1_s1,FULL,1.4,0.5,3.0,0.1,1,,1,1262,GRAV_FRAG,0.08,,True,False
162,RCE_f1.4_b0.5_m3.0_p0.5_s2,FULL,1.4,0.5,3.0,0.5,2,,1,361,DT_COLLAPSE,0.075,,True,False
163,RCE_f1.4_b0.5_m3.0_p0.5_s3,FULL,1.4,0.5,3.0,0.5,3,,1,391,DT_COLLAPSE,0.075,,True,False
164,RCE_f1.4_b0.5_m3.0_p0.3_s1,FULL,1.4,0.5,3.0,0.3,1,,1,1262,GRAV_FRAG,0.08,,True,False
165,RCE_f1.4_b0.5_m3.0_p0.5_s1,FULL,1.4,0.5,3.0,0.5,1,,1,1292,GRAV_FRAG,0.08,,True,False
166,RCE_f1.3_b2.0_m3.0_p0.5_s1,TIMEOUT,1.3,2.0,3.0,0.5,1,,1,7206,TIMEOUT,,,False,True
167,RCE_f1.4_b1.0_m2.0_p0.0_s1,FULL,1.4,1.0,2.0,0.0,1,,1,1472,GRAV_FRAG,0.085,,True,False
168,RCE_f1.3_b2.0_m3.0_p0.5_s2,TIMEOUT,1.3,2.0,3.0,0.5,2,,1,7206,TIMEOUT,,,False,True
169,RCE_f1.4_b1.0_m2.0_p0.0_s2,FULL,1.4,1.0,2.0,0.0,2,,1,1682,GRAV_FRAG,0.085,,True,False
170,RCE_f1.4_b1.0_m2.0_p0.0_s3,FULL,1.4,1.0,2.0,0.0,3,11.4062,2,1712,GRAV_FRAG,0.085,,True,False
171,RCE_f1.3_b2.0_m3.0_p0.5_s3,TIMEOUT,1.3,2.0,3.0,0.5,3,,1,7206,TIMEOUT,,,False,True
172,RCE_f1.4_b1.0_m2.0_p0.1_s1,FULL,1.4,1.0,2.0,0.1,1,,1,1442,GRAV_FRAG,0.085,,True,False
173,RCE_f1.4_b1.0_m2.0_p0.1_s2,FULL,1.4,1.0,2.0,0.1,2,,1,1652,GRAV_FRAG,0.085,,True,False
174,RCE_f1.4_b1.0_m2.0_p0.3_s1,FULL,1.4,1.0,2.0,0.3,1,,1,1442,GRAV_FRAG,0.085,,True,False
175,RCE_f1.4_b1.0_m2.0_p0.1_s3,FULL,1.4,1.0,2.0,0.1,3,11.4062,2,1712,GRAV_FRAG,0.085,,True,False
