sim_id,campaign,f,beta,mach,gamma,theta,seed,approach,morphology_ref,runtime_s,returncode,term_reason,morphology,fragmented,lW,lW_method,hgbs_match,t_frag,grav_ratio,n_snaps,n_athdf_kept,n_athdf_purged,error
HGBS_f1.1_b2.0_M3.0_s30,P1,1.1,2.0,3.0,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,1.5625,hdf5,False,0.1407,713.03,61,7,0,
HGBS_f1.1_b2.0_M3.0_s0,P1,1.1,2.0,3.0,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,1.0938,hdf5,False,0.1404,671.52,57,6,0,
HGBS_f1.1_b2.0_M2.5_s6,P1,1.1,2.0,2.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.305,FULL,True,2.3958,hdf5,False,0.161,622.07,62,7,0,
HGBS_f1.1_b2.0_M2.5_s12,P1,1.1,2.0,2.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.290,FULL,True,1.276,hdf5,False,0.1561,530.1,59,6,0,
HGBS_f1.1_b2.0_M2.5_s18,P1,1.1,2.0,2.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,2.4219,hdf5,False,0.1606,546.25,61,7,0,
HGBS_f1.1_b2.0_M2.5_s24,P1,1.1,2.0,2.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,8.8021,hdf5,False,0.156,721.45,61,7,0,
HGBS_f1.1_b2.0_M2.5_s30,P1,1.1,2.0,2.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.315,FULL,True,1.6667,hdf5,False,0.1611,627.31,64,7,0,
HGBS_f1.1_b2.0_M2.5_s0,P1,1.1,2.0,2.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,7.2656,hdf5,False,0.1607,568.03,61,7,0,
HGBS_f1.0_b2.0_M3.5_s6,P1,1.0,2.0,3.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,2.3438,hdf5,False,0.116,853.58,57,6,0,
HGBS_f1.0_b2.0_M3.5_s12,P1,1.0,2.0,3.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.260,FULL,True,9.6354,hdf5,False,0.1152,659.12,53,6,0,
HGBS_f1.0_b2.0_M3.5_s18,P1,1.0,2.0,3.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,2.4479,hdf5,False,0.1151,711.8,55,6,0,
HGBS_f1.0_b2.0_M3.5_s30,P1,1.0,2.0,3.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.290,FULL,True,1.6667,hdf5,False,0.1159,922.68,59,6,0,
HGBS_f1.0_b2.0_M3.5_s0,P1,1.0,2.0,3.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.260,FULL,True,7.2917,hdf5,False,0.1155,657.93,53,6,0,
HGBS_f1.0_b2.0_M3.5_s24,P1,1.0,2.0,3.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.265,FULL,True,12.8125,hdf5,False,0.1156,757.44,54,6,0,
HGBS_f1.0_b2.0_M3.0_s6,P1,1.0,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.290,FULL,True,2.5521,hdf5,True,0.1308,731.26,121,16,0,
HGBS_f1.0_b2.0_M3.0_s12,P1,1.0,2.0,3.0,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,9.6615,hdf5,False,0.131,649.21,115,15,0,
HGBS_f1.0_b2.0_M3.0_s18,P1,1.0,2.0,3.0,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.285,FULL,True,2.7083,hdf5,True,0.1309,672.99,58,6,0,
