run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_NC_f1p2_b2p0_m3p0_t0_s6,NC,1.2,2.0,3.0,0,6,failed,7204.150326490402,3.9583333333333335,ok:4_peaks,0.34000030159950256,FULL,0.23984504491090775,0.1922423020005226,True,4,4,ok,35,-9
RTC_NC_f1p0_b1p0_m3p5_t0_s6,NC,1.0,1.0,3.5,0,6,failed,331.65040731430054,,no_athdf,0.297,RADIAL_COLLAPSE,0.19960907846689224,0.1547731515020132,True,4,4,ok,30,-2
RTC_NC_f1p0_b0p3_m3p5_t0_s3,NC,1.0,0.3,3.5,0,3,failed,4597.130276918411,,no_athdf,0.282,RADIAL_COLLAPSE,0.21956168487668037,0.13767775669693946,True,3,5,ok,29,-2
RTC_NC_f1p0_b0p5_m3p5_t0_s6,NC,1.0,0.5,3.5,0,6,failed,1883.8079478740692,,no_athdf,0.311,RADIAL_COLLAPSE,0.21915729343891144,0.17451268061995506,True,4,4,ok,32,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s1,NC,1.0,2.0,3.5,0,1,failed,3044.3992590904236,,no_athdf,0.347007,RADIAL_COLLAPSE,0.24995409697294235,0.10703059818063464,True,4,7,ok,35,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s4,NC,1.0,2.0,3.5,0,4,failed,2291.064041376114,,no_athdf,0.301001,RADIAL_COLLAPSE,0.2292119339108467,0.13159431517124176,True,3,5,ok,31,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s2,NC,1.0,2.0,3.5,0,2,failed,3466.545224428177,,no_athdf,0.288,RADIAL_COLLAPSE,0.2188996784389019,0.08964719782982554,True,5,7,ok,29,-2
RTC_NC_f1p0_b0p5_m3p5_t0_s3,NC,1.0,0.5,3.5,0,3,failed,5471.615182638168,,no_athdf,0.287001,RADIAL_COLLAPSE,0.2198229469358921,0.1356140948832035,True,3,5,ok,29,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s1,NC,1.2,0.3,3.5,0,1,failed,331.60178208351135,,no_athdf,0.300004,RADIAL_COLLAPSE,0.20920384675264359,0.0825204434139388,True,4,7,ok,31,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s2,NC,1.2,0.3,3.5,0,2,failed,331.59518551826477,,no_athdf,0.25409,RADIAL_COLLAPSE,0.18921108543872833,0.08146352072556813,True,4,6,ok,26,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s4,NC,1.2,0.3,3.5,0,4,failed,271.282573223114,,no_athdf,0.285,RADIAL_COLLAPSE,0.20922929793596268,0.12183900475502014,True,3,5,ok,29,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s3,NC,1.2,0.3,3.5,0,3,failed,602.9033167362213,,no_athdf,0.253,RADIAL_COLLAPSE,0.18973849713802338,0.14487707428634167,True,3,4,ok,26,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s5,NC,1.2,0.3,3.5,0,5,failed,286.40259075164795,,no_athdf,0.266004,RADIAL_COLLAPSE,0.19942906126379967,0.11367722377181053,True,4,5,ok,27,-2
RTC_NC_f1p0_b1p0_m3p5_t0_s3,NC,1.0,1.0,3.5,0,3,failed,5757.876863479614,,no_athdf,0.294001,RADIAL_COLLAPSE,0.2289252206683159,0.14136595129966736,True,4,5,ok,30,-2
RTC_NC_f1p2_b0p3_m3p5_t0_s6,NC,1.2,0.3,3.5,0,6,failed,1447.0886495113373,,no_athdf,0.31,RADIAL_COLLAPSE,0.21986189484596252,0.17475529946386814,True,4,4,ok,32,-2
RTC_NC_f1p2_b0p5_m3p5_t0_s2,NC,1.2,0.5,3.5,0,2,failed,1115.0562074184418,,no_athdf,0.262,RADIAL_COLLAPSE,0.199419304728508,0.08805616696675618,True,5,6,ok,27,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s3,NC,1.0,2.0,3.5,0,3,failed,7204.888429880142,6.354166666666667,ok:4_peaks,0.3100004196166992,FULL,0.24934789910912514,0.13302797513703504,True,4,6,ok,32,-9
RTC_NC_f1p2_b0p5_m3p5_t0_s4,NC,1.2,0.5,3.5,0,4,failed,1688.0174942016602,,no_athdf,0.284001,RADIAL_COLLAPSE,0.20978329330682755,0.1217442810535431,True,3,5,ok,29,-2
RTC_NC_f1p2_b0p5_m3p5_t0_s6,NC,1.2,0.5,3.5,0,6,failed,211.04830265045166,,no_athdf,0.29,RADIAL_COLLAPSE,0.1992383971810341,0.15438373759388924,True,4,4,ok,30,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s6,NC,1.0,2.0,3.5,0,6,failed,5079.72422003746,,no_athdf,0.319,RADIAL_COLLAPSE,0.2196807712316513,0.1746065430343151,True,4,4,ok,32,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s2,NC,1.2,1.0,3.5,0,2,failed,210.96674394607544,,no_athdf,0.254068,RADIAL_COLLAPSE,0.18978017941117287,0.08168999788661797,True,4,6,ok,26,-2
RTC_NC_f1p2_b0p5_m3p5_t0_s1,NC,1.2,0.5,3.5,0,1,failed,3737.9679837226868,,no_athdf,0.337,RADIAL_COLLAPSE,0.23957397043704987,0.0910419449210167,True,5,8,ok,34,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s1,NC,1.2,1.0,3.5,0,1,failed,874.1582853794098,,no_athdf,0.302,RADIAL_COLLAPSE,0.20989903807640076,0.08266940180744443,True,4,7,ok,31,-2
RTC_NC_f1p2_b0p5_m3p5_t0_s5,NC,1.2,0.5,3.5,0,5,failed,1265.9674718379974,,no_athdf,0.266001,RADIAL_COLLAPSE,0.19973452016711235,0.11358345076441764,True,4,5,ok,27,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s6,NC,1.2,1.0,3.5,0,6,failed,135.63530850410461,,no_athdf,0.285074,RADIAL_COLLAPSE,0.18975858390331268,0.14487298764288425,True,4,4,ok,29,-2
RTC_NC_f1p0_b2p0_m3p5_t0_s5,NC,1.0,2.0,3.5,0,5,failed,6571.696368932724,,no_athdf,0.300001,RADIAL_COLLAPSE,0.2391110695898533,0.1395762674510479,True,3,5,ok,31,-2
RTC_NC_f1p2_b0p5_m3p5_t0_s3,NC,1.2,0.5,3.5,0,3,failed,5410.907004117966,,no_athdf,0.285001,RADIAL_COLLAPSE,0.21984775736927986,0.13777370527386665,True,3,5,ok,29,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s4,NC,1.2,1.0,3.5,0,4,failed,3029.4837007522583,,no_athdf,0.294,RADIAL_COLLAPSE,0.2193223014473915,0.1275710493326187,True,3,5,ok,30,-2
